代码,名称,所属行业
SH601628,中国人寿,保险
SH601633,长城汽车,汽车整车
SH601636,旗滨集团,建筑材料
SH601658,邮储银行,银行
SH601665,齐鲁银行,银行
SH601666,平煤股份,煤炭开采加工
SH601668,中国建筑,建筑装饰
SH601669,中国电建,建筑装饰
SH601677,明泰铝业,工业金属
SH601678,滨化股份,化学原料
SH601686,友发集团,钢铁
SH601688,华泰证券,证券
SH601689,拓普集团,汽车零部件
SH601696,中银证券,证券
SH601698,中国卫通,国防军工
SH601699,潞安环能,煤炭开采加工
SH601700,风范股份,电力设备
SH601702,华峰铝业,工业金属
SH601717,郑煤机,专用设备
SH601718,际华集团,服装家纺
SH601727,上海电气,电力设备
SH601728,中国电信,通信服务
SH601766,中国中车,非汽车交运
SH601777,力帆科技,非汽车交运
SH601778,晶科科技,电力
SH601788,光大证券,证券
SH601789,宁波建工,建筑装饰
SH601798,蓝科高新,专用设备
SH601799,星宇股份,汽车零部件
SH601800,中国交建,建筑装饰
SH601801,皖新传媒,传媒
SH601808,中海油服,油气开采及服务
SH601811,新华文轩,传媒
SH601816,京沪高铁,公路铁路运输
SH601818,光大银行,银行
SH601825,沪农商行,银行
SH601827,三峰环境,环保
SH601828,美凯龙,零售
SH601838,成都银行,银行
SH601857,中国石油,石油加工贸易
SH601858,中国科传,传媒
SH601860,紫金银行,银行
SH601865,福莱特,电力设备
SH601866,中远海发,港口航运
SH601868,中国能建,建筑装饰
SH601869,长飞光纤,通信设备
SH601872,招商轮船,港口航运
SH601877,正泰电器,电力设备
SH601878,浙商证券,证券
SH601880,辽港股份,港口航运
SH601881,中国银河,证券
SH601882,海天精工,通用设备
SH601886,江河集团,建筑装饰
SH601888,中国中免,零售
SH601890,亚星锚链,国防军工
SH601898,中煤能源,煤炭开采加工
SH601899,紫金矿业,工业金属
SH601900,南方传媒,传媒
SH601901,方正证券,证券
SH601908,京运通,电力
SH601916,浙商银行,银行
SH601918,新集能源,煤炭开采加工
SH601919,中远海控,港口航运
SH601921,浙版传媒,传媒
SH601928,凤凰传媒,传媒
SH601929,吉视传媒,传媒
SH601933,永辉超市,零售
SH601939,XD建设银,银行
SH601949,中国出版,传媒
SH601952,苏垦农发,种植业与林业
SH601956,东贝集团,白色家电
SH601958,金钼股份,小金属
SH601963,重庆银行,银行
SH601965,中国汽研,汽车服务
SH601966,玲珑轮胎,汽车零部件
SH601968,宝钢包装,包装印刷
SH601969,海南矿业,钢铁
SH601975,招商南油,港口航运
SH601985,中国核电,电力
SH601988,中国银行,银行
SH601989,中国重工,国防军工
SH601990,南京证券,证券
SH601991,大唐发电,电力
SH601992,金隅集团,建筑材料
SH601995,中金公司,证券
SH601996,丰林集团,家用轻工
SH601997,贵阳银行,银行
SH601998,中信银行,银行
SH601999,出版传媒,传媒
SH603000,人民网,传媒
SH603001,奥康国际,服装家纺
SH603002,宏昌电子,电子化学品
SH603003,龙宇燃油,计算机应用
SH603005,晶方科技,半导体及元件
SH603006,联明股份,汽车零部件
SH603008,喜临门,家用轻工
SH603009,北特科技,汽车零部件
SH603010,万盛股份,化工合成材料
SH603011,合锻智能,专用设备
SH603012,创力集团,专用设备
SH603013,亚普股份,汽车零部件
SH603015,弘讯科技,自动化设备
SH603016,新宏泰,电力设备
SH603017,中衡设计,建筑装饰
SH603018,华设集团,建筑装饰
SH603019,中科曙光,计算机设备
SH603020,爱普股份,化学制品
SH603021,山东华鹏,家用轻工
SH603022,新通联,包装印刷
SH603023,威帝股份,汽车零部件
SH603025,大豪科技,自动化设备
SH603026,石大胜华,电力设备
SH603027,千禾味业,食品加工制造
SH603028,XD赛福天,通用设备
SH603029,天鹅股份,专用设备
SH603030,全筑股份,建筑装饰
SH603031,安孚科技,电力设备
SH603032,德新交运,电力设备
SH603033,三维股份,化工合成材料
SH603035,常熟汽饰,汽车零部件
SH603036,如通股份,专用设备
SH603037,凯众股份,汽车零部件
SH603038,华立股份,建筑材料
SH603040,新坐标,汽车零部件
SH603041,美思德,化学制品
SH603042,华脉科技,通信设备
SH603043,广州酒家,食品加工制造
SH603045,福达合金,金属新材料
SH603048,浙江黎明,汽车零部件
SH603050,科林电气,电力设备
SH603051,鹿山新材,化学制品
SH603053,成都燃气,燃气
SH603055,台华新材,纺织制造
SH603056,德邦股份,物流
SH603058,永吉股份,包装印刷
SH603059,倍加洁,美容护理
SH603060,国检集团,专业服务
SH603063,禾望电气,电力设备
SH603066,音飞储存,物流
SH603067,振华股份,化学原料
SH603068,博通集成,半导体及元件
SH603069,海汽集团,公路铁路运输
SH603070,万控智造,电力设备
SH603071,物产环能,电力
SH603076,乐惠国际,专用设备
SH603077,和邦生物,化学原料
SH603078,江化微,电子化学品
SH603079,圣达生物,化学制品
SH603080,新疆火炬,燃气
SH603081,大丰实业,专用设备
SH603083,剑桥科技,通信设备
SH603085,天成自控,汽车零部件
SH603086,先达股份,化学制品
SH603087,甘李药业,生物制品
SH603088,宁波精达,通用设备
SH603089,正裕工业,汽车零部件
SH603090,宏盛股份,通用设备
SH603093,南华期货,保险及其他
SH603095,越剑智能,专用设备
SH603096,新经典,传媒
SH603097,江苏华辰,电力设备
SH603098,森特股份,建筑装饰
SH603099,长白山,景点及旅游
SH603100,川仪股份,仪器仪表
SH603101,汇嘉时代,零售
SH603102,百合股份,食品加工制造
SH603103,横店影视,传媒
SH603105,芯能科技,电力
SH603106,恒银科技,计算机设备
SH603108,润达医疗,医疗服务
SH603109,神驰机电,汽车零部件
SH603110,东方材料,化学制品
SH603111,康尼机电,非汽车交运
SH603112,华翔股份,白色家电
SH603113,XD金能科,煤炭开采加工
SH603115,海星股份,工业金属
SH603116,红蜻蜓,服装家纺
SH603118,共进股份,通信设备
SH603121,华培动力,汽车零部件
SH603122,合富中国,医药商业
SH603123,翠微股份,保险及其他
SH603126,中材节能,环保
SH603127,昭衍新药,医疗服务
SH603128,华贸物流,物流
SH603129,春风动力,非汽车交运
SH603131,上海沪工,通用设备
SH603132,金徽股份,工业金属
SH603133,碳元科技,消费电子
SH603136,天目湖,景点及旅游
SH603138,海量数据,计算机应用
SH603139,康惠制药,中药
SH603150,万朗磁塑,白色家电
SH603155,新亚强,化学制品
SH603156,养元饮品,饮料制造
SH603158,腾龙股份,汽车零部件
SH603159,上海亚虹,专用设备
SH603160,汇顶科技,半导体及元件
SH603161,科华控股,汽车零部件
SH603165,荣晟环保,造纸
SH603166,福达股份,汽车零部件
SH603167,渤海轮渡,港口航运
SH603168,莎普爱思,化学制药
SH603169,兰石重装,专用设备
SH603170,宝立食品,食品加工制造
SH603171,税友股份,计算机应用
SH603176,汇通集团,建筑装饰
SH603177,德创环保,环保
SH603178,圣龙股份,汽车零部件
SH603179,新泉股份,汽车零部件
SH603180,金牌厨柜,家用轻工
SH603181,皇马科技,化学制品
SH603183,建研院,专业服务
SH603185,上机数控,电力设备
SH603186,华正新材,半导体及元件
SH603187,海容冷链,通用设备
SH603188,亚邦股份,化学制品
SH603189,网达软件,计算机应用
SH603191,望变电气,电力设备
SH603192,汇得科技,化学制品
SH603195,公牛集团,家用轻工
SH603196,日播时尚,服装家纺
SH603197,保隆科技,汽车零部件
SH603198,迎驾贡酒,饮料制造
SH603199,九华旅游,景点及旅游
SH603200,上海洗霸,环保
SH603203,快克股份,自动化设备
SH603206,嘉环科技,通信服务
SH603208,江山欧派,家用轻工
SH603209,XD兴通股,港口航运
SH603211,晋拓股份,汽车零部件
SH603212,赛伍技术,电力设备
SH603213,镇洋发展,化学原料
SH603214,爱婴室,零售
SH603215,比依股份,小家电
SH603216,梦天家居,家用轻工
SH603217,元利科技,化学制品
SH603218,日月股份,电力设备
SH603219,富佳股份,小家电
SH603220,中贝通信,通信服务
SH603221,爱丽家居,家用轻工
SH603222,济民医疗,医疗器械
SH603223,恒通股份,物流
SH603225,新凤鸣,化工合成材料
SH603226,菲林格尔,家用轻工
SH603227,雪峰科技,化学制品
SH603228,景旺电子,半导体及元件
SH603229,奥翔药业,化学制药
SH603230,内蒙新华,传媒
SH603232,格尔软件,计算机应用
SH603233,大参林,医药商业
SH603235,天新药业,化学制药
SH603236,移远通信,通信设备
SH603238,诺邦股份,美容护理
SH603239,浙江仙通,汽车零部件
SH603256,宏和科技,建筑材料
SH603258,电魂网络,传媒
SH603259,药明康德,医疗服务
SH603260,合盛硅业,化学制品
SH603261,立航科技,国防军工
SH603266,天龙股份,汽车零部件
SH603267,鸿远电子,国防军工
SH603268,松发股份,家用轻工
SH603269,海鸥股份,通用设备
SH603272,联翔股份,家用轻工
SH603277,银都股份,通用设备
SH603278,大业股份,通用设备
SH603279,景津装备,环保
SH603283,赛腾股份,自动化设备
SH603286,日盈电子,汽车零部件
SH603288,海天味业,食品加工制造
SH603289,泰瑞机器,专用设备
SH603290,斯达半导,半导体及元件
SH603297,永新光学,光学光电子
SH603298,杭叉集团,专用设备
SH603299,苏盐井神,化学原料
SH603300,华铁应急,保险及其他
SH603301,振德医疗,医疗器械
SH603303,得邦照明,光学光电子
SH603305,旭升股份,汽车零部件
SH603306,华懋科技,汽车零部件
SH603308,应流股份,通用设备
SH603309,维力医疗,医疗器械
SH603311,金海高科,白色家电
SH603313,梦百合,家用轻工
SH603315,福鞍股份,环保
SH603316,诚邦股份,建筑装饰
SH603317,天味食品,食品加工制造
SH603318,水发燃气,燃气
SH603319,湘油泵,汽车零部件
SH603320,迪贝电气,电力设备
SH603321,梅轮电梯,专用设备
SH603322,超讯通信,通信服务
SH603323,苏农银行,银行
SH603324,盛剑环境,环保
SH603326,我乐家居,家用轻工
SH603327,福蓉科技,消费电子
SH603328,依顿电子,半导体及元件
SH603329,上海雅仕,物流
SH603330,上海天洋,化工合成材料
SH603331,百达精工,通用设备
SH603332,苏州龙杰,化工合成材料
SH603333,尚纬股份,电力设备
SH603335,迪生力,汽车零部件
SH603336,宏辉果蔬,农产品加工
SH603337,杰克股份,专用设备
SH603338,浙江鼎力,专用设备
SH603339,四方科技,通用设备
SH603345,安井食品,食品加工制造
SH603348,XD文灿股,汽车零部件
SH603351,威尔药业,化学制药
SH603353,和顺石油,石油加工贸易
SH603355,莱克电气,小家电
SH603356,华菱精工,专用设备
SH603357,设计总院,建筑装饰
SH603358,华达科技,汽车零部件
SH603359,东珠生态,环保
SH603360,百傲化学,化学制品
SH603363,傲农生物,农产品加工
SH603365,水星家纺,服装家纺
SH603366,日出东方,厨卫电器
SH603367,辰欣药业,化学制药
SH603368,柳药集团,医药商业
SH603369,今世缘,饮料制造
SH603377,东方时尚,教育
SH603378,亚士创能,建筑材料
SH603379,三美股份,化学制品
SH603380,易德龙,消费电子
SH603383,顶点软件,计算机应用
SH603385,惠达卫浴,家用轻工
SH603386,骏亚科技,半导体及元件
SH603387,基蛋生物,医疗器械
SH603388,元成股份,建筑装饰
SH603389,亚振家居,家用轻工
SH603390,通达电气,汽车零部件
SH603392,万泰生物,医疗器械
SH603393,新天然气,油气开采及服务
SH603396,金辰股份,电力设备
SH603398,沐邦高科,家用轻工
SH603399,吉翔股份,小金属
SH603408,建霖家居,家用轻工
SH603416,信捷电气,自动化设备
SH603421,鼎信通讯,通信设备
SH603429,集友股份,包装印刷
SH603439,贵州三力,中药
SH603444,吉比特,传媒
SH603456,九洲药业,医疗服务
SH603458,勘设股份,建筑装饰
SH603466,风语筑,传媒
SH603477,巨星农牧,养殖业
SH603486,科沃斯,小家电
SH603488,展鹏科技,专用设备
SH603489,八方股份,电力设备
SH603496,恒为科技,计算机设备
SH603499,翔港科技,包装印刷
SH603500,祥和实业,非汽车交运
SH603501,韦尔股份,半导体及元件
SH603505,金石资源,化学制品
SH603506,南都物业,房地产服务
SH603507,振江股份,电力设备
SH603508,思维列控,计算机设备
SH603511,爱慕股份,服装家纺
SH603515,欧普照明,光学光电子
SH603516,淳中科技,计算机设备
SH603517,绝味食品,食品加工制造
SH603518,锦泓集团,服装家纺
SH603519,立霸股份,白色家电
SH603520,司太立,化学制药
SH603527,众源新材,工业金属
SH603528,多伦科技,计算机应用
SH603529,爱玛科技,非汽车交运
SH603530,神马电力,电力设备
SH603533,掌阅科技,传媒
SH603535,嘉诚国际,物流
SH603536,惠发食品,食品加工制造
SH603538,美诺华,化学制药
SH603551,奥普家居,厨卫电器
SH603555,贵人鸟,服装家纺
SH603556,海兴电力,电力设备
SH603558,健盛集团,服装家纺
SH603559,中通国脉,通信服务
SH603565,中谷物流,港口航运
SH603566,普莱柯,农业服务
SH603567,珍宝岛,中药
SH603568,伟明环保,环保
SH603569,长久物流,物流
SH603577,汇金通,电力设备
SH603578,三星新材,白色家电
SH603579,荣泰健康,小家电
SH603580,艾艾精工,化工合成材料
SH603583,捷昌驱动,自动化设备
SH603585,苏利股份,化学制品
SH603586,金麒麟,汽车零部件
SH603587,地素时尚,服装家纺
SH603588,高能环境,环保
SH603589,口子窖,饮料制造
SH603590,康辰药业,生物制品
SH603595,东尼电子,消费电子
SH603596,伯特利,汽车零部件
SH603598,引力传媒,传媒
SH603599,广信股份,化学制品
SH603600,永艺股份,家用轻工
SH603601,再升科技,建筑材料
SH603602,XD纵横通,通信服务
SH603605,珀莱雅,美容护理
SH603606,东方电缆,电力设备
SH603607,京华激光,包装印刷
SH603608,天创时尚,服装家纺
SH603609,禾丰股份,农产品加工
SH603610,麒盛科技,家用轻工
SH603611,诺力股份,专用设备
SH603612,索通发展,非金属材料
SH603613,国联股份,互联网电商
SH603615,茶花股份,家用轻工
SH603616,韩建河山,建筑材料
SH603617,君禾股份,通用设备
SH603618,杭电股份,电力设备
SH603619,XD中曼石,油气开采及服务
SH603626,科森科技,消费电子
SH603628,清源股份,电力设备
SH603629,利通电子,消费电子
SH603630,拉芳家化,美容护理
SH603633,徕木股份,汽车零部件
SH603636,南威软件,计算机应用
SH603637,镇海股份,建筑装饰
SH603638,艾迪精密,专用设备
SH603639,海利尔,化学制品
SH603648,畅联股份,物流
SH603650,彤程新材,化工合成材料
SH603655,朗博科技,汽车零部件
SH603656,泰禾智能,专用设备
SH603657,春光科技,白色家电
SH603658,安图生物,医疗器械
SH603659,璞泰来,电力设备
SH603660,苏州科达,计算机设备
SH603661,恒林股份,家用轻工
SH603662,柯力传感,仪器仪表
SH603663,三祥新材,小金属
SH603665,康隆达,服装家纺
SH603666,亿嘉和,自动化设备
SH603667,五洲新春,通用设备
SH603668,天马科技,农产品加工
SH603669,灵康药业,化学制药
SH603676,卫信康,化学制药
SH603677,奇精机械,白色家电
SH603678,火炬电子,国防军工
SH603679,华体科技,光学光电子
SH603680,今创集团,非汽车交运
SH603681,永冠新材,化学制品
SH603682,锦和商管,零售
SH603683,晶华新材,化学制品
SH603685,XD晨丰科,光学光电子
SH603686,福龙马,环保
SH603687,大胜达,包装印刷
SH603688,石英股份,非金属材料
SH603689,皖天然气,燃气
SH603690,至纯科技,半导体及元件
SH603693,江苏新能,电力
SH603696,安记食品,食品加工制造
SH603697,有友食品,食品加工制造
SH603698,航天工程,专用设备
SH603699,纽威股份,通用设备
SH603700,宁水集团,仪器仪表
SH603701,德宏股份,汽车零部件
SH603703,盛洋科技,光学光电子
SH603706,东方环宇,燃气
SH603707,健友股份,化学制药
SH603708,家家悦,零售
SH603709,中源家居,家用轻工
SH603711,香飘飘,饮料制造
SH603712,七一二,国防军工
SH603713,密尔克卫,物流
SH603716,塞力医疗,医药商业
SH603717,天域生态,建筑装饰
SH603718,海利生物,农业服务
SH603719,良品铺子,食品加工制造
SH603721,中广天择,传媒
SH603722,阿科力,化工合成材料
SH603725,天安新材,化学制品
SH603726,朗迪集团,白色家电
SH603727,博迈科,油气开采及服务
SH603728,鸣志电器,电力设备
SH603729,龙韵股份,传媒
SH603730,岱美股份,汽车零部件
SH603733,仙鹤股份,造纸
SH603737,三棵树,建筑材料
SH603738,泰晶科技,半导体及元件
SH603739,蔚蓝生物,农业服务
SH603755,日辰股份,食品加工制造
SH603757,大元泵业,通用设备
SH603758,秦安股份,汽车零部件
SH603759,海天股份,环保
SH603766,隆鑫通用,非汽车交运
SH603767,中马传动,汽车零部件
SH603768,常青股份,汽车零部件
SH603773,沃格光电,光学光电子
SH603776,永安行,非汽车交运
SH603777,来伊份,食品加工制造
SH603778,乾景园林,建筑装饰
SH603779,威龙股份,饮料制造
SH603786,科博达,汽车零部件
SH603787,新日股份,非汽车交运
SH603788,宁波高发,汽车零部件
SH603789,星光农机,专用设备
SH603790,雅运股份,化学制品
SH603797,联泰环保,环保
SH603798,康普顿,石油加工贸易
SH603799,华友钴业,小金属
SH603800,道森股份,专用设备
SH603801,志邦家居,家用轻工
SH603803,瑞斯康达,通信设备
SH603806,福斯特,电力设备
SH603808,歌力思,服装家纺
SH603809,豪能股份,汽车零部件
SH603810,丰山集团,化学制品
SH603811,诚意药业,化学制药
SH603813,原尚股份,物流
SH603815,交建股份,建筑装饰
SH603816,顾家家居,家用轻工
SH603817,海峡环保,环保
SH603818,曲美家居,家用轻工
SH603819,神力股份,电力设备
SH603822,嘉澳环保,化学制品
SH603823,百合花,化学制品
SH603825,华扬联众,传媒
SH603826,坤彩科技,非金属材料
SH603828,柯利达,建筑装饰
SH603829,洛凯股份,电力设备
SH603833,欧派家居,家用轻工
SH603836,海程邦达,物流
SH603838,四通股份,家用轻工
SH603839,安正时尚,服装家纺
SH603843,正平股份,建筑装饰
SH603848,好太太,家用轻工
SH603855,XD华荣股,专用设备
SH603856,东宏股份,建筑材料
SH603858,步长制药,中药
SH603859,能科科技,自动化设备
SH603860,中公高科,建筑装饰
SH603861,白云电器,电力设备
SH603863,松炀资源,造纸
SH603866,桃李面包,食品加工制造
SH603867,DR新化股,化学制品
SH603868,飞科电器,小家电
SH603869,新智认知,计算机应用
SH603871,嘉友国际,物流
SH603876,鼎胜新材,工业金属
SH603877,太平鸟,服装家纺
SH603878,武进不锈,钢铁
SH603879,永悦科技,化工合成材料
SH603880,南卫股份,医疗器械
SH603881,数据港,计算机应用
SH603882,金域医学,医疗服务
SH603883,老百姓,医药商业
SH603885,吉祥航空,机场航运
SH603886,元祖股份,食品加工制造
SH603887,城地香江,计算机应用
SH603888,新华网,传媒
SH603889,新澳股份,纺织制造
SH603890,春秋电子,消费电子
SH603893,瑞芯微,半导体及元件
SH603895,天永智能,专用设备
SH603896,寿仙谷,中药
SH603897,长城科技,电力设备
SH603898,好莱客,家用轻工
SH603899,晨光股份,家用轻工
SH603900,莱绅通灵,家用轻工
SH603901,永创智能,专用设备
SH603903,中持股份,环保
SH603906,龙蟠科技,化学制品
SH603908,牧高笛,服装家纺
SH603909,建发合诚,建筑装饰
SH603912,佳力图,通用设备
SH603915,国茂股份,通用设备
SH603916,苏博特,化学制品
SH603917,合力科技,汽车零部件
SH603918,金桥信息,计算机应用
SH603919,金徽酒,饮料制造
SH603920,世运电路,半导体及元件
SH603922,金鸿顺,汽车零部件
SH603926,铁流股份,汽车零部件
SH603927,中科软,计算机应用
SH603928,兴业股份,化工合成材料
SH603929,亚翔集成,建筑装饰
SH603931,格林达,电子化学品
SH603933,睿能科技,其他电子
SH603936,博敏电子,半导体及元件
SH603937,丽岛新材,工业金属
SH603938,三孚股份,化学制品
SH603939,益丰药房,医药商业
SH603948,建业股份,化学制品
SH603949,雪龙集团,汽车零部件
SH603950,长源东谷,汽车零部件
SH603955,大千生态,建筑装饰
SH603956,威派格,专用设备
SH603958,哈森股份,服装家纺
SH603959,百利科技,建筑装饰
SH603960,克来机电,自动化设备
SH603963,大理药业,中药
SH603966,法兰泰克,专用设备
SH603967,中创物流,物流
SH603968,醋化股份,化学制品
SH603969,银龙股份,通用设备
SH603970,中农立华,化学制品
SH603976,正川股份,医疗器械
SH603977,国泰集团,化学制品
SH603978,深圳新星,金属新材料
SH603979,金诚信,工业金属
SH603980,吉华集团,化学制品
SH603982,泉峰汽车,汽车零部件
SH603983,丸美股份,美容护理
SH603985,恒润股份,电力设备
SH603986,兆易创新,半导体及元件
SH603987,康德莱,医疗器械
SH603988,中电电机,电力设备
SH603989,艾华集团,半导体及元件
SH603990,麦迪科技,计算机应用
SH603991,至正股份,化工合成材料
SH603992,松霖科技,家用轻工
SH603993,洛阳钼业,小金属
SH603995,甬金股份,钢铁
SH603997,继峰股份,汽车零部件
SH603998,方盛制药,中药
SH603999,读者传媒,传媒
SH605001,威奥股份,非汽车交运
SH605003,众望布艺,服装家纺
SH605005,合兴股份,汽车零部件
SH605006,山东玻纤,建筑材料
SH605007,五洲特纸,造纸
SH605008,长鸿高科,化工合成材料
SH605009,豪悦护理,美容护理
SH605011,杭州热电,电力
SH605016,百龙创园,化学制品
SH605018,长华股份,汽车零部件
SH605020,永和股份,化学制品
SH605028,世茂能源,电力
SH605033,美邦股份,化学制品
SH605050,福然德,物流
SH605055,迎丰股份,纺织制造
SH605056,咸亨国际,仪器仪表
SH605058,澳弘电子,半导体及元件
SH605060,联德股份,通用设备
SH605066,天正电气,电力设备
SH605068,明新旭腾,汽车零部件
SH605069,正和生态,环保
SH605077,华康股份,化学制品
SH605080,浙江自然,家用轻工
SH605081,太和水,环保
SH605086,龙高股份,非金属材料
SH605088,冠盛股份,汽车零部件
SH605089,味知香,食品加工制造
SH605090,九丰能源,燃气
SH605098,行动教育,教育
SH605099,共创草坪,家用轻工
SH605100,华丰股份,通用设备
SH605108,同庆楼,酒店及餐饮
SH605111,新洁能,半导体及元件
SH605116,奥锐特,化学制药
SH605117,德业股份,白色家电
SH605118,力鼎光电,计算机设备
SH605122,四方新材,建筑材料
SH605123,派克新材,国防军工
SH605128,上海沿浦,汽车零部件
SH605133,嵘泰股份,汽车零部件
SH605136,丽人丽妆,互联网电商
SH605138,盛泰集团,服装家纺
SH605151,西上海,汽车服务
SH605155,西大门,家用轻工
SH605158,华达新材,钢铁
SH605162,新中港,电力
SH605166,聚合顺,化工合成材料
SH605167,利柏特,建筑装饰
SH605168,三人行,传媒
SH605169,洪通燃气,燃气
SH605177,东亚药业,化学制药
SH605178,时空科技,建筑装饰
SH605179,一鸣食品,食品加工制造
SH605180,华生科技,纺织制造
SH605183,确成股份,化工合成材料
SH605186,健麾信息,自动化设备
SH605188,国光连锁,零售
SH605189,富春染织,纺织制造
SH605196,华通线缆,电力设备
SH605198,德利股份,饮料制造
SH605199,葫芦娃,中药
SH605208,永茂泰,工业金属
SH605218,伟时电子,光学光电子
SH605222,起帆电缆,电力设备
SH605228,神通科技,汽车零部件
SH605255,天普股份,汽车零部件
SH605258,协和电子,半导体及元件
SH605259,绿田机械,专用设备
SH605266,健之佳,医药商业
SH605268,王力安防,家用轻工
SH605277,新亚电子,消费电子
SH605286,同力日升,专用设备
SH605287,德才股份,建筑装饰
SH605288,凯迪股份,自动化设备
SH605289,罗曼股份,建筑装饰
SH605296,神农集团,养殖业
SH605298,必得科技,非汽车交运
SH605299,舒华体育,家用轻工
SH605300,佳禾食品,食品加工制造
SH605303,园林股份,建筑装饰
SH605305,中际联合,专用设备
SH605318,法狮龙,建筑材料
SH605319,无锡振华,汽车零部件
SH605333,沪光股份,汽车零部件
SH605336,DR帅丰电,厨卫电器
SH605337,李子园,饮料制造
SH605338,巴比食品,食品加工制造
SH605339,南侨食品,食品加工制造
SH605358,立昂微,半导体及元件
SH605365,立达信,光学光电子
SH605366,宏柏新材,化学制品
SH605368,蓝天燃气,燃气
SH605369,拱东医疗,医疗器械
SH605376,博迁新材,小金属
SH605377,华旺科技,造纸
SH605378,野马电池,电力设备
SH605388,均瑶健康,饮料制造
SH605389,长龄液压,专用设备
SH605398,新炬网络,计算机应用
SH605399,晨光新材,化学制品
SH605488,福莱新材,化工合成材料
SH605499,东鹏饮料,饮料制造
SH605500,森林包装,造纸
SH605507,国邦医药,化学制药
SH605555,德昌股份,小家电
SH605566,福莱蒽特,化学制品
SH605567,春雪食品,食品加工制造
SH605577,龙版传媒,传媒
SH605580,恒盛能源,电力
SH605588,冠石科技,光学光电子
SH605589,圣泉集团,化工合成材料
SH605598,上海港湾,建筑装饰
SH605599,菜百股份,家用轻工
SH688001,华兴源创,专用设备
SH688002,睿创微纳,国防军工
SH688003,天准科技,自动化设备
SH688004,博汇科技,计算机应用
SH688005,容百科技,电力设备
SH688006,杭可科技,电力设备
SH688007,光峰科技,消费电子
SH688008,澜起科技,半导体及元件
SH688009,中国通号,非汽车交运
SH688010,福光股份,光学光电子
SH688011,新光光电,国防军工
SH688012,中微公司,半导体及元件
SH688013,天臣医疗,医疗器械
SH688015,交控科技,非汽车交运
SH688016,心脉医疗,医疗器械
SH688017,绿的谐波,自动化设备
SH688018,乐鑫科技,半导体及元件
SH688019,安集科技,电子化学品
SH688020,方邦股份,电子化学品
SH688021,奥福环保,汽车零部件
SH688022,瀚川智能,专用设备
SH688023,安恒信息,计算机应用
SH688025,杰普特,自动化设备
SH688026,洁特生物,化工合成材料
SH688027,国盾量子,通信设备
SH688028,沃尔德,通用设备
SH688029,南微医学,医疗器械
SH688030,山石网科,计算机应用
SH688032,禾迈股份,电力设备
SH688033,天宜上佳,非汽车交运
SH688036,传音控股,消费电子
SH688037,芯源微,半导体及元件
SH688038,XD中科通,计算机应用
SH688039,当虹科技,计算机应用
SH688045,必易微,半导体及元件
SH688046,药康生物,医疗服务
SH688047,龙芯中科,半导体及元件
SH688048,长光华芯,半导体及元件
SH688049,炬芯科技,半导体及元件
SH688050,爱博医疗,医疗器械
SH688051,佳华科技,计算机应用
SH688052,纳芯微,半导体及元件
SH688053,N思科,专业服务
SH688055,龙腾光电,光学光电子
SH688056,莱伯泰科,仪器仪表
SH688057,金达莱,环保
SH688058,宝兰德,计算机应用
SH688059,华锐精密,通用设备
SH688060,云涌科技,计算机设备
SH688062,迈威生物-U,生物制品
SH688063,派能科技,电力设备
SH688065,凯赛生物,化学制品
SH688066,航天宏图,国防军工
SH688067,爱威科技,医疗器械
SH688068,热景生物,医疗器械
SH688069,德林海,环保
SH688070,纵横股份,国防军工
SH688071,华依科技,专用设备
SH688072,拓荆科技-U,半导体及元件
SH688075,安旭生物,医疗器械
SH688076,诺泰生物,医疗服务
SH688077,大地熊,金属新材料
SH688078,龙软科技,计算机应用
SH688079,美迪凯,光学光电子
SH688080,映翰通,通信设备
SH688081,兴图新科,国防军工
SH688082,盛美上海,半导体及元件
SH688083,中望软件,计算机应用
SH688085,三友医疗,医疗器械
SH688087,英科再生,化工合成材料
SH688088,虹软科技,计算机应用
SH688089,嘉必优,化学制品
SH688090,瑞松科技,自动化设备
SH688091,上海谊众-U,化学制药
SH688092,爱科科技,专用设备
SH688093,世华科技,其他电子
SH688095,福昕软件,计算机应用
SH688096,京源环保,环保
SH688097,博众精工,自动化设备
SH688098,申联生物,农业服务
SH688099,晶晨股份,半导体及元件
SH688100,威胜信息,通信设备
SH688101,三达膜,环保
SH688102,斯瑞新材,工业金属
SH688103,国力股份,其他电子
SH688105,诺唯赞,医疗器械
SH688106,金宏气体,电子化学品
SH688107,安路科技-U,半导体及元件
SH688108,赛诺医疗,医疗器械
SH688109,品茗股份,计算机应用
SH688110,东芯股份,半导体及元件
SH688111,金山办公,计算机应用
SH688112,鼎阳科技,仪器仪表
SH688113,联测科技,专用设备
SH688115,思林杰,仪器仪表
SH688116,天奈科技,电力设备
SH688117,圣诺生物,化学制药
SH688118,普元信息,计算机应用
SH688119,中钢洛耐,建筑材料
SH688120,华海清科,半导体及元件
SH688121,卓然股份,专用设备
SH688122,西部超导,国防军工
SH688123,聚辰股份,半导体及元件
SH688125,安达智能,自动化设备
SH688126,沪硅产业-U,半导体及元件
SH688127,蓝特光学,光学光电子
SH688128,中国电研,专用设备
SH688129,东来技术,化学制品
SH688131,皓元医药,医疗服务
SH688133,泰坦科技,化学制品
SH688135,利扬芯片,半导体及元件
SH688136,科兴制药,生物制品
SH688138,清溢光电,半导体及元件
SH688139,海尔生物,医疗器械
SH688148,芳源股份,电力设备
