代码,名称,所属行业
SH600269,赣粤高速,公路铁路运输
SH600271,航天信息,计算机应用
SH600272,开开实业,医药商业
SH600273,嘉化能源,化学制品
SH600276,恒瑞医药,化学制药
SH600277,亿利洁能,化学原料
SH600278,东方创业,贸易
SH600279,重庆港,港口航运
SH600280,中央商场,零售
SH600281,华阳新材,小金属
SH600282,南钢股份,钢铁
SH600283,钱江水利,环保
SH600284,浦东建设,建筑装饰
SH600285,羚锐制药,中药
SH600287,江苏舜天,贸易
SH600288,大恒科技,其他电子
SH600292,远达环保,环保
SH600293,三峡新材,建筑材料
SH600295,鄂尔多斯,钢铁
SH600297,广汇汽车,汽车服务
SH600298,安琪酵母,食品加工制造
SH600299,安迪苏,化学制品
SH600300,维维股份,饮料制造
SH600301,南化股份,建筑装饰
SH600302,标准股份,专用设备
SH600305,恒顺醋业,食品加工制造
SH600307,酒钢宏兴,钢铁
SH600308,华泰股份,造纸
SH600309,万华化学,化学制品
SH600310,桂东电力,电力
SH600312,平高电气,电力设备
SH600313,农发种业,种植业与林业
SH600315,上海家化,美容护理
SH600316,洪都航空,国防军工
SH600318,新力金融,保险及其他
SH600319,亚星化学,化学原料
SH600320,振华重工,专用设备
SH600321,正源股份,建筑材料
SH600322,天房发展,房地产开发
SH600323,瀚蓝环境,环保
SH600325,华发股份,房地产开发
SH600326,西藏天路,建筑材料
SH600327,大东方,零售
SH600328,中盐化工,化学原料
SH600329,达仁堂,中药
SH600330,天通股份,专用设备
SH600331,宏达股份,工业金属
SH600332,白云山,中药
SH600333,长春燃气,燃气
SH600335,国机汽车,汽车服务
SH600336,澳柯玛,白色家电
SH600337,美克家居,家用轻工
SH600338,西藏珠峰,工业金属
SH600339,中油工程,油气开采及服务
SH600340,华夏幸福,房地产开发
SH600343,航天动力,国防军工
SH600345,长江通信,通信设备
SH600346,恒力石化,石油加工贸易
SH600348,华阳股份,煤炭开采加工
SH600350,山东高速,公路铁路运输
SH600351,亚宝药业,中药
SH600352,浙江龙盛,化学制品
SH600353,旭光电子,其他电子
SH600354,敦煌种业,种植业与林业
SH600355,精伦电子,通信设备
SH600356,恒丰纸业,造纸
SH600358,国旅联合,传媒
SH600359,新农开发,种植业与林业
SH600360,华微电子,半导体及元件
SH600361,华联综超,零售
SH600362,江西铜业,工业金属
SH600363,联创光电,光学光电子
SH600366,宁波韵升,金属新材料
SH600367,红星发展,化学原料
SH600368,五洲交通,公路铁路运输
SH600369,西南证券,证券
SH600370,三房巷,化学制品
SH600371,万向德农,种植业与林业
SH600372,中航电子,国防军工
SH600373,中文传媒,传媒
SH600375,汉马科技,汽车整车
SH600376,首开股份,房地产开发
SH600377,宁沪高速,公路铁路运输
SH600378,昊华科技,化学制品
SH600379,宝光股份,电力设备
SH600380,健康元,化学制药
SH600381,青海春天,食品加工制造
SH600383,金地集团,房地产开发
SH600386,北巴传媒,汽车服务
SH600389,江山股份,化学制品
SH600390,五矿资本,保险及其他
SH600391,航发科技,国防军工
SH600392,盛和资源,小金属
SH600393,粤泰股份,房地产开发
SH600395,盘江股份,煤炭开采加工
SH600396,金山股份,电力
SH600397,安源煤业,煤炭开采加工
SH600398,海澜之家,服装家纺
SH600399,抚顺特钢,钢铁
SH600400,红豆股份,服装家纺
SH600403,大有能源,煤炭开采加工
SH600405,动力源,电力设备
SH600406,国电南瑞,电力设备
SH600408,安泰集团,煤炭开采加工
SH600409,三友化工,化学原料
SH600410,华胜天成,计算机应用
SH600415,小商品城,零售
SH600416,湘电股份,电力设备
SH600418,江淮汽车,汽车整车
SH600419,XD天润乳,食品加工制造
SH600420,国药现代,化学制药
SH600421,华嵘控股,通用设备
SH600422,昆药集团,中药
SH600423,柳化股份,化学原料
SH600425,青松建化,建筑材料
SH600426,华鲁恒升,化学原料
SH600428,中远海特,港口航运
SH600429,三元股份,食品加工制造
SH600433,冠豪高新,造纸
SH600435,北方导航,国防军工
SH600436,片仔癀,中药
SH600438,通威股份,电力设备
SH600439,瑞贝卡,家用轻工
SH600444,国机通用,专用设备
SH600446,金证股份,计算机应用
SH600448,华纺股份,纺织制造
SH600449,宁夏建材,建筑材料
SH600452,涪陵电力,电力
SH600455,博通股份,教育
SH600456,宝钛股份,小金属
SH600458,时代新材,电力设备
SH600459,贵研铂业,小金属
SH600460,士兰微,半导体及元件
SH600461,洪城环境,环保
SH600463,空港股份,房地产开发
SH600466,蓝光发展,房地产开发
SH600467,好当家,养殖业
SH600468,百利电气,电力设备
SH600469,风神股份,汽车零部件
SH600470,六国化工,化学制品
SH600475,华光环能,环保
SH600476,湘邮科技,计算机应用
SH600477,XD杭萧钢,建筑装饰
SH600478,科力远,电力设备
SH600479,千金药业,中药
SH600480,凌云股份,汽车零部件
SH600481,双良节能,通用设备
SH600482,中国动力,国防军工
SH600483,XD福能股,电力
SH600486,扬农化工,化学制品
SH600487,XD亨通光,通信设备
SH600488,天药股份,化学制药
SH600489,XD中金黄,贵金属
SH600490,鹏欣资源,工业金属
SH600491,龙元建设,建筑装饰
SH600493,凤竹纺织,纺织制造
SH600495,晋西车轴,非汽车交运
SH600496,精工钢构,建筑装饰
SH600497,XD驰宏锌,工业金属
SH600498,烽火通信,通信设备
SH600499,科达制造,专用设备
SH600500,XD中化国,化学制品
SH600501,航天晨光,专用设备
SH600502,安徽建工,建筑装饰
SH600503,华丽家族,房地产开发
SH600505,西昌电力,电力
SH600506,香梨股份,石油加工贸易
SH600507,方大特钢,钢铁
SH600508,上海能源,煤炭开采加工
SH600509,天富能源,电力
SH600510,XD黑牡丹,房地产开发
SH600511,国药股份,医药商业
SH600512,腾达建设,建筑装饰
SH600513,联环药业,化学制药
SH600516,方大炭素,钢铁
SH600517,国网英大,保险及其他
SH600519,贵州茅台,饮料制造
SH600520,文一科技,专用设备
SH600521,华海药业,化学制药
SH600522,中天科技,通信设备
SH600523,贵航股份,汽车零部件
SH600525,长园集团,电力设备
SH600526,菲达环保,环保
SH600527,江南高纤,纺织制造
SH600528,中铁工业,非汽车交运
SH600529,XD山东药,医疗器械
SH600530,交大昂立,食品加工制造
SH600531,豫光金铅,工业金属
SH600533,栖霞建设,房地产开发
SH600535,天士力,中药
SH600536,中国软件,计算机应用
SH600537,亿晶光电,电力设备
SH600538,国发股份,医疗器械
SH600539,狮头股份,互联网电商
SH600540,新赛股份,种植业与林业
SH600543,莫高股份,饮料制造
SH600545,卓郎智能,专用设备
SH600546,山煤国际,煤炭开采加工
SH600547,XD山东黄,贵金属
SH600548,深高速,公路铁路运输
SH600549,厦门钨业,小金属
SH600550,保变电气,电力设备
SH600551,时代出版,传媒
SH600552,凯盛科技,光学光电子
SH600556,天下秀,传媒
SH600557,康缘药业,中药
SH600558,大西洋,通用设备
SH600559,老白干酒,饮料制造
SH600560,金自天正,专用设备
SH600561,江西长运,公路铁路运输
SH600562,国睿科技,国防军工
SH600563,法拉电子,半导体及元件
SH600565,迪马股份,房地产开发
SH600566,济川药业,中药
SH600567,山鹰国际,造纸
SH600569,安阳钢铁,钢铁
SH600570,恒生电子,计算机应用
SH600571,信雅达,计算机应用
SH600572,康恩贝,中药
SH600573,惠泉啤酒,饮料制造
SH600575,淮河能源,公路铁路运输
SH600576,祥源文化,传媒
SH600577,精达股份,电力设备
SH600578,京能电力,电力
SH600579,克劳斯,专用设备
SH600580,卧龙电驱,电力设备
SH600581,八一钢铁,钢铁
SH600582,天地科技,专用设备
SH600583,海油工程,油气开采及服务
SH600584,长电科技,半导体及元件
SH600585,海螺水泥,建筑材料
SH600586,金晶科技,建筑材料
SH600587,新华医疗,医疗器械
SH600588,用友网络,计算机应用
SH600590,泰豪科技,电力设备
SH600592,龙溪股份,通用设备
SH600593,大连圣亚,景点及旅游
SH600594,益佰制药,中药
SH600595,中孚实业,工业金属
SH600596,新安股份,化学制品
SH600597,光明乳业,食品加工制造
SH600598,北大荒,种植业与林业
SH600600,青岛啤酒,饮料制造
SH600602,云赛智联,计算机应用
SH600603,广汇物流,房地产开发
SH600604,市北高新,房地产开发
SH600605,汇通能源,零售
SH600606,绿地控股,房地产开发
SH600609,金杯汽车,汽车零部件
SH600610,中毅达,化学原料
SH600611,大众交通,公路铁路运输
SH600612,老凤祥,家用轻工
SH600613,神奇制药,化学制药
SH600616,金枫酒业,饮料制造
SH600617,国新能源,燃气
SH600618,氯碱化工,化学原料
SH600619,海立股份,白色家电
SH600620,天宸股份,综合
SH600621,华鑫股份,证券
SH600622,光大嘉宝,房地产开发
SH600623,华谊集团,化学原料
SH600624,复旦复华,化学制药
SH600626,申达股份,汽车零部件
SH600628,新世界,零售
SH600629,华建集团,建筑装饰
SH600630,龙头股份,服装家纺
SH600633,浙数文化,传媒
SH600635,大众公用,燃气
SH600636,国新文化,教育
SH600637,东方明珠,传媒
SH600638,新黄浦,房地产开发
SH600639,浦东金桥,房地产开发
SH600640,新国脉,传媒
SH600641,万业企业,房地产开发
SH600642,XD申能股,电力
SH600643,爱建集团,保险及其他
SH600644,乐山电力,电力
SH600645,中源协和,医疗器械
SH600647,同达创业,贸易
SH600648,外高桥,房地产开发
SH600649,城投控股,房地产开发
SH600650,锦江在线,公路铁路运输
SH600651,飞乐音响,光学光电子
SH600653,申华控股,汽车服务
SH600655,豫园股份,零售
SH600657,XD信达地,房地产开发
SH600658,电子城,房地产开发
SH600660,福耀玻璃,汽车零部件
